,deepseek-r1,gemma3,llama3.2,phi4,qwen2.5,starcoder2
deepseek-r1,1.0,1.0,0.0011581222566238844,1.0,1.0,2.3689689766134197e-07
gemma3,1.0,1.0,2.3509162223098557e-06,1.0,1.0,1.0700093631228159e-08
llama3.2,0.0011581222566238844,2.3509162223098557e-06,1.0,0.00035502451795534057,6.517706973544695e-05,0.36092382028809505
phi4,1.0,1.0,0.00035502451795534057,1.0,1.0,6.235257719214191e-06
qwen2.5,1.0,1.0,6.517706973544695e-05,1.0,1.0,3.000450512966811e-07
starcoder2,2.3689689766134197e-07,1.0700093631228159e-08,0.36092382028809505,6.235257719214191e-06,3.000450512966811e-07,1.0
