model_short,TS_equal_mean,TS_equal_std,TS_pca_mean,TS_pca_std,inv_hf_mean,inv_hf_std,ta_norm_mean,ta_norm_std,eca_norm_mean,eca_norm_std,asc_norm_mean,asc_norm_std,hallucinationFrequency_mean,hallucinationFrequency_std,technicalAccuracy_mean,technicalAccuracy_std,effectChainAwareness_mean,effectChainAwareness_std,attackSurfaceCoverage_mean,attackSurfaceCoverage_std
gemma3,0.5234313725490196,0.1498813537616482,0.5074229544452536,0.13379342195125593,0.5786691176470589,0.2486965062570248,0.4749614845938376,0.14756634620101391,0.4545644257703081,0.12183789448462792,0.5855304621848739,0.22222863303454807,0.4213308823529412,0.24869650625702483,4.749614845938375,1.4756634620101392,4.545644257703081,1.218378944846279,0.5855304621848739,0.22222863303454807
deepseek-r1,0.49002030812324926,0.1962960403092143,0.41927913981123693,0.2159677919690236,0.7598995098039216,0.28896780981483045,0.4495511204481793,0.26313091645818226,0.3441011904761905,0.19263059485741604,0.40652941176470586,0.29021401374164213,0.24010049019607843,0.28896780981483045,4.495511204481793,2.6313091645818227,3.4410119047619045,1.9263059485741607,0.40652941176470586,0.29021401374164213
phi4,0.48553869047619047,0.17885404389849535,0.43227028203275053,0.187407546005378,0.6863154761904762,0.23884376582987335,0.4322678571428571,0.19447882003726608,0.3641684173669468,0.16663295144793167,0.4594030112044818,0.2695591223783757,0.3136845238095238,0.23884376582987335,4.322678571428572,1.944788200372661,3.641684173669468,1.6663295144793167,0.4594030112044818,0.2695591223783757
qwen2.5,0.4797143732492998,0.17403987586128297,0.4590198985002322,0.16337296362503506,0.5531355042016807,0.2781498957160151,0.464546568627451,0.17094638436145035,0.38421813725490195,0.12861093224026962,0.5169572829131653,0.2707209096082294,0.44686449579831933,0.2781498957160151,4.64546568627451,1.7094638436145038,3.8421813725490193,1.2861093224026963,0.5169572829131653,0.2707209096082294
llama3.2,0.30093137254901964,0.08822812019065807,0.22209543481444197,0.11587618415053237,0.6005920868347339,0.26990480985166326,0.1960658263305322,0.12971548358255564,0.1606372549019608,0.10519763723476956,0.24643032212885152,0.22279565769878634,0.3994079131652661,0.26990480985166326,1.9606582633053222,1.2971548358255565,1.606372549019608,1.0519763723476956,0.24643032212885152,0.22279565769878634
starcoder2,0.26496017156862745,0.0604054871160567,0.08099727904915034,0.07432329284586378,0.9741911764705883,0.08882705439890919,0.038137254901960786,0.10865687096107131,0.02627450980392157,0.06952073646455406,0.021237745098039214,0.06180782415205352,0.025808823529411763,0.08882705439890916,0.3813725490196078,1.0865687096107133,0.2627450980392157,0.6952073646455404,0.021237745098039214,0.06180782415205352
